id,name,party,partyLabel,votes,election,electionLabel,ranking
Q7154645,Paula Bradley,Q215519,Democratic Unionist Party,8458,Q28231972,2017 Assembly election,1
Q8012668,William Humphrey,Q215519,Democratic Unionist Party,7276,Q28231972,2017 Assembly election,2
Q17306227,Nichola Mallon,Q175443,Social Democratic and Labour Party,6806,Q28231972,2017 Assembly election,3
Q5552825,Gerry Kelly,Q76382,Sinn Féin,6595,Q28231972,2017 Assembly election,4
Q5047760,Carál Ní Chuilín,Q76382,Sinn Féin,6164,Q28231972,2017 Assembly election,5
,Nuala McAllister,Q244927,Alliance Party of Northern Ireland,5608,Q28231972,2017 Assembly election,6
Q6990642,Nelson McCausland,Q215519,Democratic Unionist Party,4709,Q28231972,2017 Assembly election,7
,Robert Foster,Q841045,Ulster Unionist Party,3141,Q28231972,2017 Assembly election,8
,Julie-Anne Corr-Johnston,Q1817613,Progressive Unionist Party,2174,Q28231972,2017 Assembly election,9
,Fiona Ferguson,Q3545406,People Before Profit Alliance,1849,Q28231972,2017 Assembly election,10
,Malachai O'Hara,Q1096979,Green Party of Northern Ireland,711,Q28231972,2017 Assembly election,11
,Gemma Weir,Q1860218,Workers' Party of Ireland,248,Q28231972,2017 Assembly election,12
,Adam Millar,Q327591,Independent politician,66,Q28231972,2017 Assembly election,13
Q5552825,Gerry Kelly,Q76382,Sinn Féin,5695,Q16973450,2016 Assembly election,1
Q7154645,Paula Bradley,Q215519,Democratic Unionist Party,5908.88,Q16973450,2016 Assembly election,2
Q8012668,William Humphrey,Q215519,Democratic Unionist Party,5286.40,Q16973450,2016 Assembly election,3
Q6990642,Nelson McCausland,Q215519,Democratic Unionist Party,4979.24,Q16973450,2016 Assembly election,4
Q5047760,Carál Ní Chuilín,Q76382,Sinn Féin,4911.24,Q16973450,2016 Assembly election,5
Q17306227,Nichola Mallon,Q175443,Social Democratic and Labour Party,4847.48,Q16973450,2016 Assembly election,6
,Nuala McAllister,Q244927,Alliance Party of Northern Ireland,3835.80,Q16973450,2016 Assembly election,7
,Lesley Carroll,Q841045,Ulster Unionist Party,2782.32,Q16973450,2016 Assembly election,8
,Fiona Ferguson,Q3545406,People Before Profit Alliance,1832.76,Q16973450,2016 Assembly election,9
Q4912757,Billy Hutchinson,Q1817613,Progressive Unionist Party,1523.32,Q16973450,2016 Assembly election,10
,Malachai O'Hara,Q1096979,Green Party of Northern Ireland,996.80,Q16973450,2016 Assembly election,11
,Ken Boyle,Q10647,United Kingdom Independence Party,954.32,Q16973450,2016 Assembly election,12
,John Miller,Q985076,Traditional Unionist Voice,650.56,Q16973450,2016 Assembly election,13
,Gemma Weir,Q1860218,Workers' Party of Ireland,520.80,Q16973450,2016 Assembly election,14
,Fra Hughes,Q327591,Independent (politician),255.52,Q16973450,2016 Assembly election,15
,Abdo Thabeth,Q20642359,Northern Ireland Labour Representation Committee,128.40,Q16973450,2016 Assembly election,16
,Tom Burns,Q327591,Independent (politician),87.24,Q16973450,2016 Assembly election,17
,Geoff Dowey,Q98310495,Northern Ireland First,32,Q16973450,2016 Assembly election,18
Q5552825,Gerry Kelly,Q76382,Sinn Féin,6674,Q7058474,2011 Assembly election,1
Q6990642,Nelson McCausland,Q215519,Democratic Unionist Party,5200,Q7058474,2011 Assembly election,2
Q4709010,Alban Maginness,Q175443,Social Democratic and Labour Party,5004,Q7058474,2011 Assembly election,3
Q5047760,Carál Ní Chuilín,Q76382,Sinn Féin,4868,Q7058474,2011 Assembly election,4
Q8012668,William Humphrey,Q215519,Democratic Unionist Party,4332,Q7058474,2011 Assembly election,5
Q7154645,Paula Bradley,Q215519,Democratic Unionist Party,4065,Q7058474,2011 Assembly election,6
Q5494852,Fred Cobain,Q841045,Ulster Unionist Party,3623,Q7058474,2011 Assembly election,7
,Billy Webb,Q244927,Alliance Party of Northern Ireland,2458,Q7058474,2011 Assembly election,8
,J. J. Magee,Q76382,Sinn Féin,1673,Q7058474,2011 Assembly election,9
Q7299004,Raymond McCord,Q327591,Independent (politician),1280,Q7058474,2011 Assembly election,10
,John Lavery,Q1860218,Workers' Party of Ireland,363,Q7058474,2011 Assembly election,11
Q300243,Nigel Dodds,Q215519,Democratic Unionist Party,6973,Q2562399,2007 Assembly election,1
Q5552825,Gerry Kelly,Q76382,Sinn Féin,5414,Q2562399,2007 Assembly election,2
Q5047760,Carál Ní Chuilín,Q76382,Sinn Féin,4587,Q2562399,2007 Assembly election,3
Q4709010,Alban Maginness,Q175443,Social Democratic and Labour Party,4830,Q2562399,2007 Assembly election,4
Q5494852,Fred Cobain,Q841045,Ulster Unionist Party,3967,Q2562399,2007 Assembly election,5
Q6990642,Nelson McCausland,Q215519,Democratic Unionist Party,3818,Q2562399,2007 Assembly election,6
